state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-12,Parts per million,None,17,100.0,Y,0.046529,0.057,9,58.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-13,Parts per million,None,24,100.0,Y,0.037875,0.05,15,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-13,Parts per million,None,24,100.0,Y,0.037792,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-13,Parts per million,None,24,100.0,Y,0.037792,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-13,Parts per million,None,17,100.0,Y,0.040294,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-14,Parts per million,None,24,100.0,Y,0.038417,0.053,15,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-14,Parts per million,None,24,100.0,Y,0.038083,0.05,11,46.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-14,Parts per million,None,24,100.0,Y,0.038083,0.05,11,46.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-14,Parts per million,None,17,100.0,Y,0.041882,0.05,11,46.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-15,Parts per million,None,23,96.0,Y,0.037,0.053,17,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-15,Parts per million,None,24,100.0,Y,0.036,0.048,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-15,Parts per million,None,24,100.0,Y,0.036,0.048,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-15,Parts per million,None,17,100.0,Y,0.039176,0.048,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-06-16,Parts per million,None,22,92.0,Y,0.035227,0.056,15,,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-06-16,Parts per million,None,24,100.0,Y,0.034333,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-06-16,Parts per million,None,24,100.0,Y,0.034333,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0050,44201,1,38.970092,-77.016715,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-06-16,Parts per million,None,17,100.0,Y,0.037706,0.047,11,44.0,047,INSTRUMENTAL - ULTRA VIOLET,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
